"shapeid","x","y","gml_id","changeType","startDate","lastUpdate","entryDate","uprn","logicalSta","blpuState","blpuStateD","rpc","localCusto","country","addressbas","postcodeLo","multiOccCo","deliveryPo","delivery_1","delivery_2","udprn","buildingNu","thoroughfa","postTown","postcode","postcodeTy","delivery_3","processDat","landProper","landProp_1","landProp_2","lpiKey","landProp_3","paoStartNu","usrn","usrnMatchI","officialFl","applicatio","applicat_1","applicat_2","xRefKey","crossRefer","version","source","classifica","classifi_1","classifi_2","classKey","classifi_3","classSchem","schemeVers","buildingNa","paoStartSu","parentUPRN","subBuildin","saoText","saoStartNu","paoText","organisati","organisa_1","organisa_2","orgKey","organisa_3","endDate","landProp_4","applicat_3","classifi_4","organisa_4","dependentT","paoEndNumb","saoStartSu","dependentL","paoEndSuff","organisa_5","department","doubleDepe","saoEndNumb","poBoxNumbe"
"0","291684.64051016024","91161.998374874","uk.addressbase.uprn.10024669856","I","2011-09-16","2016-02-10","2011-09-01","10024669856.0","1","NULL","NULL","1","7655","E","N","EX2 8LH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101176618)","(1:1)","NULL","(1:14200705)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2008-08-16,2006-03-17)","(4:7655X900391496,7655X134389578,7655X600391496,7655X700391496)","(4:osgb5000000000052978,E05003491,osgb4000000025305659,osgb1000012289125)","(3:16,6,4)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000391496)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1","291497.93444870826","91240.49655048901","uk.addressbase.uprn.10024669858","I","2011-09-16","2016-02-10","2011-09-01","10024669858.0","1","NULL","NULL","1","7655","E","N","EX2 8HU","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101176620)","(1:1)","NULL","(1:14202922)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-16,2016-02-07,2006-03-17,2006-03-18)","(4:7655X600391498,7655X134389579,7655X700391498,7655X900391498)","(4:osgb4000000025335328,E05003506,osgb1000012289425,osgb5000000000052985)","(3:4,3,9)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000391498)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","291951.989545584","91851.9610835305","uk.addressbase.uprn.10023120106","I","2011-02-25","2016-02-10","2011-02-24","10023120106.0","1","2","2011-02-24","1","1110","E","N","EX2 8DN","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-02-25)","(1:2016-02-10)","(1:2011-02-24)","(1:1110L000166542)","(1:1)","NULL","(1:14200893)","(1:1)","NULL","(3:2016-02-07,2016-02-07,2016-02-07)","(3:2016-02-07,2016-02-07,2016-02-07)","(3:2016-02-07,2015-07-23,2015-07-23)","(3:1110X111460524,1110X708367763,1110X606022156)","(3:E05003491,osgb1000000347977813,osgb5000005157730294)","(2:8,1)","(3:7666OW,7666MT,7666MI)","(1:2011-02-25)","(1:2016-02-10)","(1:2011-02-24)","(1:1110C000061492)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUBSTATION)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","291323.6323400979","91674.30549906904","uk.addressbase.uprn.10025539643","I","2015-08-19","2016-02-10","2013-07-16","10025539643.0","1","NULL","NULL","1","7655","E","N","EX2 9DS","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2015-08-19)","(1:2016-02-10)","(1:2013-07-16)","(1:7655L102292936)","(1:1)","NULL","(1:14200300)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2010-07-30,2013-04-07,2013-04-29)","(4:7655X106775110,7655X603666802,7655X703553471,7655X903656099)","(4:E05003506,osgb4000000025335808,osgb5000005108948638,...)","(3:6,1,4)","(4:7666OW,7666MI,7666MT,7666MA)","(1:2015-08-19)","(1:2016-02-10)","(1:2013-07-16)","(1:7655C003264780)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","291009.3314696916","91761.40954989986","uk.addressbase.uprn.10024944118","I","2011-09-16","2016-02-10","2011-09-01","10024944118.0","1","NULL","NULL","1","7655","E","N","EX4 1JX","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101415150)","(1:1)","NULL","(1:14200316)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2008-08-16,2016-02-07,2008-01-30,2006-03-18)","(4:7655X600611658,7655X135455460,7655X700611658,7655X900611658)","(4:osgb4000000025335763,E05003506,osgb1000000347988792,...)","(3:4,4,12)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000611658)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","291941.93919487455","91607.00426624424","uk.addressbase.uprn.10024665614","I","2011-09-16","2016-02-10","2010-09-16","10024665614.0","1","NULL","NULL","1","7655","E","N","EX2 8EH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-16)","(1:7655L101170245)","(1:1)","NULL","(1:14200893)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2008-08-16,2008-01-30)","(4:7655X900389273,7655X134368744,7655X600389273,7655X700389273)","(4:osgb5000000000052815,E05003491,osgb4000000025335802,...)","(3:15,4,3)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-09-16)","(1:7655C000389273)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 2M FROM 12 WILLEYS AVENUE. 6M FROM WATER LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6","291278.73218766344","91355.09770459903","uk.addressbase.uprn.10024944120","I","2011-09-16","2016-02-10","2011-09-01","10024944120.0","1","NULL","NULL","1","7655","E","N","EX2 9EG","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101415152)","(1:1)","NULL","(1:14200701)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2015-07-16,2006-03-18,2016-02-07,2015-07-16)","(4:7655X600613550,7655X900613550,7655X135455461,7655X700613550)","(4:osgb4000000025384241,osgb5000000000739200,E05003506,...)","(3:5,9,3)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000613550)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","291018.33066045656","91476.99820716269","uk.addressbase.uprn.10025583200","I","2015-09-15","2016-02-10","2015-08-28","10025583200.0","1","NULL","NULL","1","7655","E","N","EX2 9BP","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2015-09-15)","(1:2016-02-10)","(1:2015-08-28)","(1:7655L102344128)","(1:1)","NULL","(1:14202377)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2015-07-16,2015-08-21,2005-09-16)","(4:7655X106934505,7655X703798836,7655X903741989,7655X603832466)","(4:E05003506,osgb5000005157227737,osgb5000000021876068,...)","(3:1,1,4)","(4:7666OW,7666MT,7666MA,7666MI)","(1:2015-09-15)","(1:2016-02-10)","(1:2015-08-28)","(1:7655C003314777)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8","291907.44185008685","91613.00253498746","uk.addressbase.uprn.10024665615","I","2011-09-16","2016-02-10","2011-09-01","10024665615.0","1","NULL","NULL","1","7655","E","N","EX2 8EH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101170246)","(1:1)","NULL","(1:14202863)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-10,2016-02-07)","(4:2006-03-18,2015-07-23,2015-07-23,2016-02-07)","(4:7655X900389274,7655X700389274,7655X600389274,7655X134368745)","(4:osgb5000000000052817,osgb1000000347977895,osgb5000005157730317,...)","(3:13,3,1)","(4:7666MA,7666MT,7666MI,7666OW)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000389274)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9","291995.9403248899","91892.29968283916","uk.addressbase.uprn.10024657979","I","2011-09-16","2016-02-10","2008-12-18","10024657979.0","1","NULL","NULL","1","7655","E","N","EX2 8DN","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159162)","(1:1)","NULL","(1:14200239)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-23,2016-02-07,2008-01-30,2006-03-18)","(4:7655X600396762,7655X134331568,7655X700396762,7655X900396762)","(4:osgb5000005157730294,E05003491,osgb1000000347978383,...)","(3:1,3,15)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655C000396762)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"10","291813.93854768947","91793.60470061816","uk.addressbase.uprn.10024657980","I","2011-09-16","2016-02-10","2011-09-01","10024657980.0","1","NULL","NULL","1","7655","E","N","EX2 8PP","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159163)","(1:1)","NULL","(1:14200428)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-23)","(4:7655X900396763,7655X134331569,7655X600396763,7655X700396763)","(4:osgb5000000000053821,E05003491,osgb4000000025424922,...)","(3:15,6,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000396763)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 7M FROM 68 ISCA ROAD. 3M FROM UNNAMED ROAD)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
